"";"texas.income";"texas.income4";"texas.income8";"texas.Tax_Brackets";"texas.race";"texas.Race";"texas.educ";"texas.Native";"texas.Sex";"income";"income4";"income8";"Tax_Brackets";"race";"Race";"educ";"Native";"Sex"
"313";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Female"
"314";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Male"
"315";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"316";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"317";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female"
"318";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"319";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"320";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Male"
"321";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Female"
"322";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
