"";"california.income";"california.income4";"california.income8";"california.Tax_Brackets";"california.race";"california.Race";"california.educ";"california.Native";"california.Sex";"income";"income4";"income8";"Tax_Brackets";"race";"Race";"educ";"Native";"Sex"
"1089";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1090";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1091";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"1092";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1093";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"Associate degree";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"Associate degree";"Native born";"Female"
"1094";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Foreign born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Foreign born";"Male"
"1095";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"1096";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"1097";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Bachelor's degree";"Foreign born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Mixed Race";"Bachelor's degree";"Foreign born";"Male"
"1098";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1099";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1100";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male"
"1101";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Male"
"1102";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"1103";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"1104";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"1105";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Female"
"1106";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"1107";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"1108";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female"
"1109";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"1110";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"1111";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1112";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Foreign born";"Male";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Foreign born";"Male"
"1113";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"1114";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"1115";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1116";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"1117";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"1118";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Foreign born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Foreign born";"Female"
"1119";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1120";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1121";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"1122";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"1123";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Native born";"Male"
"1124";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"1125";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Foreign born";"Female";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Foreign born";"Female"
"1126";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$40 to $49.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"1127";"<$5";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"<$5";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"1128";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"1129";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1130";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male"
"1131";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Female"
"1132";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"1133";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Foreign born";"Male"
"1134";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"1135";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"1136";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"1137";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Foreign born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Foreign born";"Male"
"1138";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"1139";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"1140";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"1141";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Foreign born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Foreign born";"Female"
"1142";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1143";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$12.5 to $14.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"1144";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Male"
"1145";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Black";"Associate degree";"Native born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"Minorities";"Black";"Associate degree";"Native born";"Male"
"1146";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female";"$20 to $24.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female"
"1147";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Foreign born";"Male"
"1148";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Native born";"Female"
"1149";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"1150";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1151";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$30 to $34.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1152";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"1153";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"1154";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"1155";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"1156";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Male"
"1157";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Male"
"1158";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"1159";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1160";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1161";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"1162";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female";"$50 to $59.9";"$30,000 to $59,999";"$40 to $59.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Female"
"1163";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"1164";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"1165";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"1166";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"1167";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"1168";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"1169";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"1170";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"1171";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"1172";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"1173";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"1174";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"1175";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Native born";"Female"
"1176";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"1177";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"1178";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Male"
"1179";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"1180";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"1181";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Male"
"1182";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Foreign born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Foreign born";"Male"
"1183";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1184";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Female";"$15 to $19.9";"$12,500 to $29,999";"$12.5 to $19.9";"Up to $19,999";"White";"White";"Did not finished high school";"Foreign born";"Female"
"1185";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Male"
"1186";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Graduate School";"Native born";"Female"
"1187";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"1188";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Native born";"Male"
"1189";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Asian & Pacific Islander";"High school graduate";"Native born";"Male"
"1190";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Foreign born";"Female"
"1191";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male";"$25 to $29.9";"$12,500 to $29,999";"$20 to $29.9";"$20,000 to $74,999";"White";"White";"Did not finished high school";"Foreign born";"Male"
"1192";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
