"";"california.income";"california.income4";"california.income8";"california.Tax_Brackets";"california.race";"california.Race";"california.educ";"california.Native";"california.Sex";"income";"income4";"income8";"Tax_Brackets";"race";"Race";"educ";"Native";"Sex"
"7073";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"High school graduate";"Foreign born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"High school graduate";"Foreign born";"Male"
"7074";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Female"
"7075";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Bachelor's degree";"Foreign born";"Male"
"7076";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"7077";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"7078";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"Bachelor's degree";"Native born";"Female"
"7079";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"White";"White";"High school graduate";"Native born";"Male"
"7080";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Male"
"7081";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Female"
"7082";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"7083";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Associate degree";"Native born";"Female"
"7084";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"7085";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male";"$35 to $39.9";"$30,000 to $59,999";"$30 to $39.9";"$20,000 to $74,999";"White";"White";"Graduate School";"Native born";"Male"
"7086";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"7087";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"7088";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"7089";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"7090";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"7091";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"White";"White";"Associate degree";"Native born";"Female"
"7092";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"Minorities";"Black";"High school graduate";"Native born";"Male";"$75 to $99.9";"$60,000 to and over";"$60 to $99.9";"$75,000 and over";"Minorities";"Black";"High school graduate";"Native born";"Male"
"7093";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"7094";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Bachelor's degree";"Native born";"Male"
"7095";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Female"
"7096";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"Did not finished high school";"Native born";"Male"
"7097";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Native born";"Male"
"7098";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Foreign born";"Female";"$100 to $149.9";"$60,000 to and over";">$100";"$75,000 and over";"White";"White";"High school graduate";"Foreign born";"Female"
"7099";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Male"
"7100";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"High school graduate";"Native born";"Female"
"7101";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"Graduate School";"Native born";"Male";"$5 to $7.49";"Less than $12,499";"<$7.9";"Up to $19,999";"White";"White";"Graduate School";"Native born";"Male"
"7102";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Male";"$60 to $74.9";"$60,000 to and over";"$60 to $99.9";"$20,000 to $74,999";"Minorities";"Black";"High school graduate";"Native born";"Male"
"7103";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Male"
"7104";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Female"
"7105";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Female";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Female"
"7106";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Male";">$150,000";"$60,000 to and over";">$100";"$75,000 and over";"Minorities";"Asian & Pacific Islander";"Graduate School";"Foreign born";"Male"
